question,reponse,target,lemmas_rep,lemmas_quest,stem_rep,stem_quest
Le prix avec un paiement comptant ou mensuel est-il le même ?,"Oui, le paiement mensuel est disponible sans aucun frais de dossier ni coût supplémentaire. Ce mode de paiement est entièrement gratuit.",1,"Oui , le paiement mensuel être disponible sans aucun frais de dossier ni coût supplémentaire . ce mode de paiement être entièrement gratuit .",le prix avec un paiement comptant ou mensuel est-il le même ?,"oui , le pai mensuel est disponibl san aucun frais de dossi ni coût supplémentair . ce mod de pai est entier gratuit .",le prix avec un pai compt ou mensuel est-il le mêm ?
Le prix du parking est-il inclus dans le billet d'entrée?,"Non. Le parking est payant (prix forfaitaire journalier). Les visiteurs séjournant dans les hôtels Disney et hôtels partenaires (sauf Adagio City, Apart'hotel Val d'Europe) peuvent se garer gratuitement dans le parking de leur hôtel.Découvrez nos forfaits hôtels, Parcs et transfert.",1,"non . le parking être payant ( prix forfaitaire journalier ) . le visiteur séjourner dans le hôtel disney et hôtel partenaire ( sauf adagio City , Apart' hotel Val de Europe ) pouvoir se garer gratuitement dans le parking de leur hôtel . découvrir notre forfait hôtel , parcs et transfert .",le prix de parking est-il inclure dans le billet de entrée ?,"non . le parking est pai ( prix forfaitair journali ) . le visiteur séjourn dan le hôtel disney et hôtel partenair ( sauf adagio city , apart'hotel val d'europ ) peuvent se gar gratuit dan le parking de leur hôtel.découvr nos forfait hôtel , parc et transfert .",le prix du parking est-il inclus dan le billet d'entr ?
Les accompagnants d'un Pass Annuel Magic Plus ou Infinity peuvent-ils également profiter de l'accès dédié à l’entrée des parcs ?,Seuls les détenteurs d’un Pass Annuel Magic Plus et d’un Pass Annuel Infinity ainsi que les détenteurs d’un Billet Privilège pourront profiter de l’accès dédié à l’entrée des Parcs.,1,seul le détenteur d’ un pass annuel magic plus et d’ un pass annuel Infinity ainsi que le détenteur d’ un billet privilèg pouvoir profiter de l’ accès dédier à l’ entrer un parc .,le accompagnant de un pass annuel magic plus ou infinity pouvoir - il également profiter de le accès dédier à l’ entrer un parc ?,seul le détenteur d ’ un pass annuel magic plus et d ’ un pass annuel infinity ains que le détenteur d ’ un billet privileg pourront profit de l ’ acces dédi à l ’ entré de parc .,le accompagn d'un pass annuel magic plus ou infinity peuvent-il égal profit de l'acces dédi à l ’ entré de parc ?
Notre budget est serré. Y a-t-il des restaurants moins chers dans les Parcs Disney?,"Oui. Il existe des restaurants pour toutes les bourses. Pour des repas légers, nos stands et restaurants disposant d'un comptoir ou en libre-service sont les plus économiques. Vous avez la possibilité de vous restaurer dans nos restaurants buffets où vous bénéficierez d'un excellent rapport qualité/prix.Consultez les informations sur nos restaurants.",1,"oui . il existe un restaurant pour tout le bourse . pour un repas léger , notre stand et restaurant disposer de un comptoir ou en libre - service être le plus économique . vous avoir le possibilité de vous restaurer dans notre restaurant buffet où vous bénéficier de un excellent rapport qualité sur prix . consulter le information sur notre restaurant .",notre budget être serrer . y avoir t il un restaurant moins cher dans le parc Disney ?,"oui . il exist de restaur pour tout le bours . pour de rep léger , nos stand et restaur dispos d'un comptoir ou en libre-servic sont le plus économ . vous avez la possibil de vous restaur dan nos restaur buffet où vous bénéfici d'un excellent rapport qualité/prix.consult le inform sur nos restaur .",notr budget est serr . y a-t-il de restaur moin cher dan le parc disney ?
Où changer des devises à Disneyland Paris?,Il existe plusieurs endroits où changer des devises :Au Disney Village au bureau Travelexauprès de certains hôtels partenairesdans le Parc Disneyland : à l'intérieur de City Hallà la Gare de Marne-la-Vallée/Chessy : au bureau de PosteRepérez-les dès maintenant à l'aide de la carte interactive de Disneyland Paris.,1,il existe plusieurs endroit où changer un devise : au Disney village au bureau travelexauprès de certain hôtel partenairesdans le parc Disneyland : à le intérieur de city Hallà le gare de Marne - le - vallée / Chessy : au bureau de PosteRepérez - le dès maintenant à le aide de le carte interactif de Disneyland Paris .,où changer un devise à Disneyland Paris ?,il exist plusieur endroit où chang de devis : au disney villag au bureau travelexaupres de certain hôtel partenairesdan le parc disneyland : à l'intérieur de city hallà la gar de marne-la-vallée/chessy : au bureau de posterepérez-l des mainten à l'aid de la cart interact de disneyland paris .,où chang de devis à disneyland paris ?
Où puis-je changer ou nourrir mon bébé ou réchauffer des biberons?,"Vous pouvez prendre soin de votre bébé dans les Coins Bébés situés dans les deux Parcs Disney :Dans le Parc Disneyland : sur Main Street U.S.A. près du Plaza Gardens Restaurant.Dans le Parc Walt Disney Studios : derrière les Studio Services. Ces centres disposent également de couches et de nourriture pour bébés disponibles à la vente.De plus, la plupart des toilettes des Parcs sont équipées de tables à langer. Consultez votre plan des parcs Disney pour connaître leur emplacement exact ou localisez-les sur notre carte interactive de Disneyland Paris.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité"".",1,"vous pouvoir prendre soin de votre bébé dans le coin bébé situer dans le deux parc Disney : dans le parc Disneyland : sur main Street u.s.a. près de plaza Gardens restaurant . dans le parc Walt Disney studio : derrière le Studio service . ce centre disposer également de couche et de nourriture pour bébé disponible à le vente . de plus , le plupart un toilette un parc être équiper de table à langer . consulter votre plan un parc Disney pour connaître leur emplacement exact ou localisez - le sur notre carte interactif de Disneyland Paris . découvrir notre forfait hôtel , parcs et transfert convenir aux famille de tout le âge . découvrez plus de conseil malin sécurité pour votre famille sur le site dédié "" le aventurier de le sécurité "" .",où puis - je changer ou nourrir mon bébé ou réchauffer un biberon ?,"vous pouv prendr soin de votr beb dan le coin beb situ dan le deux parc disney : dan le parc disneyland : sur main street u.s.a. pres du plaz garden restaurant.dan le parc walt disney studios : derri le studio servic . ce centr disposent égal de couch et de nourritur pour beb disponibl à la vente.d plus , la plupart de toilet de parc sont équip de tabl à lang . consult votr plan de parc disney pour connaîtr leur emplac exact ou localisez-l sur notr cart interact de disneyland paris.découvr nos forfait hôtel , parc et transfert conven aux famill de tous le âges.découvr plus de conseil malin sécur pour votr famill sur le sit dédi `` le aventuri de la sécur '' .",où puis-j chang ou nourr mon beb ou réchauff de bib ?
Où puis-je me garer à Disneyland Paris?,"Vous pouvez vous garer au Parking Visiteurs situé à l'extérieur des parcs Disney. Vous devrez payer un prix forfaitaire journalier. Si vous séjournez dans l'un des hôtels Disney ou dans l'un des hôtels partenaires situés à proximité des Parcs Disney, vous pouvez garer gratuitement votre véhicule au parking de l'hôtel. Nous vous encourageons à utiliser la navette Disneyland Paris gratuite pour vous déplacer.Découvrez nos forfaits hôtels, Parcs et transfert.",1,"vous pouvoir vous garer au Parking visiteur situer à le extérieur un parc disney . vous devoir payer un prix forfaitaire journalier . si vous séjourner dans le un un hôtel disney ou dans le un un hôtel partenaire situer à proximité un parc Disney , vous pouvoir garer gratuitement votre véhicule au parking de le hôtel . nous vous encourager à utiliser le navette Disneyland Paris gratuite pour vous déplacer . découvrir notre forfait hôtel , parcs et transfert .",où puis - je me garer à Disneyland Paris ?,"vous pouv vous gar au parking visiteur situ à l'extérieur de parc disney . vous devr pai un prix forfaitair journali . si vous séjourn dan l'un de hôtel disney ou dan l'un de hôtel partenair situ à proxim de parc disney , vous pouv gar gratuit votr véhicul au parking de l'hôtel . nous vous encourageon à utilis la navet disneyland paris gratuit pour vous déplacer.découvr nos forfait hôtel , parc et transfert .",où puis-j me gar à disneyland paris ?
Où puis-je me rendre si je me blesse ou si j'ai besoin de soins médicaux?,"En cas d'urgence, veuillez contacter votre Cast Member (employé Disney) le plus proche.Les centres de Premiers Soins se trouvent :Dans le Parc Disneyland : à Main Street, U.S.A. près de Central Plaza.Dans le Parc Walt Disney Studios : derrière les Studio ServicesVous pouvez trouver ces emplacements sur notre carte interactive de Disneyland Paris.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité"".",1,"en cas de urgence , vouloir contacter votre Cast Member ( employer Disney ) le plus proche . le centre de premier soin se trouver : dans le parc Disneyland : à Main Street , U.S.A. près de Central plaza . dans le parc Walt Disney studio : derrière le Studio servicesvou pouvoir trouver ce emplacement sur notre carte interactif de Disneyland Paris . Découvrez plus de conseil malin sécurité pour votre famille sur le site dédié "" le aventurier de le sécurité "" .",où puis - je me rendre si je me blesse ou si je avoir besoin de soin médical ?,"en cas d'urgenc , veuill contact votr cast memb ( emploi disney ) le plus proche.l centr de premi soin se trouvent : dan le parc disneyland : à main street , u.s.a. pres de central plaza.dan le parc walt disney studios : derri le studio servicesvous pouv trouv ce emplac sur notr cart interact de disneyland paris.découvr plus de conseil malin sécur pour votr famill sur le sit dédi `` le aventuri de la sécur '' .",où puis-j me rendr si je me bless ou si j'ai besoin de soin médical ?
Où puis-je me rendre si mon enfant se blesse ou a besoin de soins médicaux?,"En cas d'urgence, veuillez contacter votre Cast Member (employé Disney) le plus proche.Les centres de Premiers Soins se trouvent :Dans le Parc Disneyland : à Main Street U.S.A. près de Central Plaza.Dans le Parc Walt Disney Studios : derrière les Studio Services.Vous pouvez trouver les centres de Premiers Soins grâce à notre carte interactive de Disneyland Paris.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité"".",1,"en cas de urgence , vouloir contacter votre Cast Member ( employer Disney ) le plus proche . le centre de premier soin se trouver : dans le parc Disneyland : à Main Street U.S.A. près de Central plaza . dans le parc Walt Disney studio : derrière le Studio service . vous pouvoir trouver le centre de premier soin grâce à notre carte interactif de Disneyland Paris . découvrir notre forfait hôtel , parcs et transfert convenir aux famille de tout le âge . découvrez plus de conseil malin sécurité pour votre famille sur le site dédié "" le aventurier de le sécurité "" .",où puis - je me rendre si mon enfant se blesse ou a besoin de soin médical ?,"en cas d'urgenc , veuill contact votr cast memb ( emploi disney ) le plus proche.l centr de premi soin se trouvent : dan le parc disneyland : à main street u.s.a. pres de central plaza.dan le parc walt disney studios : derri le studio services.vous pouv trouv le centr de premi soin grâc à notr cart interact de disneyland paris.découvr nos forfait hôtel , parc et transfert conven aux famill de tous le âges.découvr plus de conseil malin sécur pour votr famill sur le sit dédi `` le aventuri de la sécur '' .",où puis-j me rendr si mon enfant se bless ou a besoin de soin médical ?
Où puis-je retirer de l'argent dans les Parcs?,Il existe des distributeurs automatiques de billets à plusieurs endroits:Parc Disneyland : Discoveryland et AdventurelandParc Walt Disney Studios : à côté du Restaurant des StarsGare Marne-la-Vallée/Chessy station : au bureau de PosteAu Disney Village en face du restaurant The SteakhouseRepérez-les dès maintenant à l'aide de la carte interactive de Disneyland Paris.J'ai déjà de l'argent liquide mais je dois le changer contre des euros.,1,il existe un distributeur automatique de billet à plusieurs endroit : parc Disneyland : Discoveryland et adventurelandparc Walt Disney studio : à côté de restaurant un StarsGare Marne - le - vallée / Chessy station : au bureau de posteau Disney village en face de restaurant The SteakhouseRepérez - le dès maintenant à le aide de le carte interactif de Disneyland Paris . je avoir déjà de le argent liquide mais je devoir le changer contre un euro .,où puis - je retirer de le argent dans le parc ?,il exist de distributeur automat de billet à plusieur endroit : parc disneyland : discoveryland et adventurelandparc walt disney studios : à côt du restaur de starsgar marne-la-vallée/chessy station : au bureau de posteau disney villag en fac du restaur the steakhouserepérez-l des mainten à l'aid de la cart interact de disneyland paris.j' déjà de l'argent liquid mais je dois le chang contr de euros .,où puis-j retir de l'argent dan le parc ?
Où puis-je voir les personnages Disney à Disneyland Paris?,"Disneyland Paris abrite tous vos personnages Disney préférés, et de nombreuses attractions, spectacles et parades accueillent Mickey et ses amis.Vous trouverez les personnages Disney dans les deux Parcs aux lieux de rencontre dédiés et dans certains restaurants. Mais pour être sûr de vivre un moment magique, organisez un dîner que vos enfants n'oublieront jamais.En séjournant dans l’un des Hôtel Disney ou si vous êtes détenteur d’un Passeport Annuel Dream ou Fantasy (hors dates de restriction) ou d’un Pass Annuel Magic Plus ou Infinity, vous pourrez profiter de moments de magie supplémentaires dans nos Parcs Disney à thème tous les jours de votre séjour.  Les Moments de Magie en Plus sont l’occasion de rencontrer des Personnages Disney. Prenez la pose à leurs côtés et n'hésitez pas à leur demander des autographes, ils adorent rencontrer leurs amis du monde entier.* La durée des Moments de Magie en plus peut varier selon la date visite. Les Moments de Magie en plus peuvent avoir lieu soit dans le parc Disneyland soit au WDS selon votre date de visite. Consultez cette page pour plus d’informations.",1,"Disneyland Paris abrite tout votre personnage Disney préférés , et de nombreux attraction , spectacle et parade accueillent Mickey et son ami . vous trouver le personnage Disney dans le deux parc al lieux de rencontre dédier et dans certain restaurant . mais pour être sûr de vivre un moment magique , organisez un dîner que votre enfant n' oublier jamais . en séjourner dans l’ un un Hôtel disney ou si vous être détenteur d’ un passeport annuel Dream ou fantasy ( hors date de restriction ) ou d’ un pass annuel magic plus ou infinity , vous pouvoir profiter de moment de magie supplémentaire dans notre parc disney à thème tout le jour de votre séjour .   le moment de magie en plus être l’ occasion de rencontrer un personnage Disney . prendre le pose à leur côté et n' hésitez pas à leur demander un autographe , il adorer rencontrer leur ami de monde entier . * le durée un moment de magie en plus pouvoir varier selon le date visite . le moment de magie en plus pouvoir avoir lieu soit dans le parc Disneyland être au WDS selon votre date de visite . consulter ce page pour plus d’ information .",où puis - je voir le personnage disney à Disneyland Paris ?,"disneyland paris abrit tous vos personnag disney préfer , et de nombreux attract , spectacl et parad accueillent mickey et se amis.vous trouv le personnag disney dan le deux parc aux lieux de rencontr dédi et dan certain restaur . mais pour être sûr de vivr un moment magiqu , organis un dîn que vos enfant n'oubli jamais.en séjourn dan l ’ un de hôtel disney ou si vous ête détenteur d ’ un passeport annuel dream ou fantasy ( hor dat de restrict ) ou d ’ un pass annuel magic plus ou infinity , vous pourr profit de moment de mag supplémentair dan nos parc disney à them tous le jour de votr séjour . le moment de mag en plus sont l ’ occas de rencontr de personnag disney . pren la pos à leur côt et n'hésit pas à leur demand de autograph , il adorent rencontr leur amis du mond enti . * la dur de moment de mag en plus peut vari selon la dat visit . le moment de mag en plus peuvent avoir lieu soit dan le parc disneyland soit au wd selon votr dat de visit . consult cet pag pour plus d ’ inform .",où puis-j voir le personnag disney à disneyland paris ?
Où se trouve Disneyland Paris par rapport aux aéroports parisiens?,"Disneyland est proche des aéroports Roissy/Charles-de-Gaulle et Orly :la navette Magical Shuttle dessert directement les deux aéroports parisiens 7 jours sur 7. Le trajet dure environ 45 minutes depuis les deux aéroports.Les visiteurs en fauteuil roulant doivent contacter Magical Shuttle par e-mail 48 heures avant leur arrivée afin de réserver une navette adaptée.Vous pouvez également louer une voiture pour aller ou venir des aéroports et en profiter pour explorer les joyaux culturels de la région. Disneyland Paris s'est associé à Hertz pour offrir aux visiteurs des services exclusifs afin que vous puissiez partir sur les routes et commencer l'aventure aussi vite que possible.Nous mettons également à votre disposition un service de voitures privées qui pourra prendre en charge tous vos déplacements entre les aéroports et les différents sites Disneyland Paris.Vous pouvez réserver ce service à l'avance en contactant Disney Special Activities par e-mail à dlp.disney.special.activities@disney.com.Découvrez nos forfaits hôtels, Parcs et transfert.",1,"Disneyland être proche un aéroport Roissy / Charles - de - Gaulle et Orly : le navette Magical Shuttle dessert directement le deux aéroport parisien 7 jour sur 7 . le trajet dur environ 45 minute depuis le deux aéroport . le visiteur en fauteuil rouler devoir contacter magical shuttle par e-mail 48 heure avant leur arrivée afin de réserver un navette adaptée . vous pouvoir également louer un voiture pour aller ou venir un aéroport et en profiter pour explorer le joyau culturel de le région . Disneyland Paris se être associer à Hertz pour offrir aux visiteur un service exclusif afin que vous pouvoir partir sur le route et commencer le aventure aussi vite que possible . nous mettre également à votre disposition un service de voiture privé qui pouvoir prendre en charge tout votre déplacement entre le aéroport et le différent site Disneyland Paris . vous pouvoir réserver ce service à le avance en contacter disney special activitier par e-mail à dlp.disney.special.activities@disney.com . découvrir notre forfait hôtel , parcs et transfert .",où se trouve Disneyland Paris par rapport al aéroport parisien ?,"disneyland est proch de aéroport roissy/charles-de-gaull et orly : la navet magical shuttl dessert direct le deux aéroport parisien 7 jour sur 7 . le trajet dur environ 45 minut depuis le deux aéroports.l visiteur en fauteuil roul doivent contact magical shuttl par e-mail 48 heur avant leur arriv afin de réserv une navet adaptée.vous pouv égal lou une voitur pour aller ou ven de aéroport et en profit pour explor le joyal culturel de la région . disneyland paris s'est associ à hertz pour offrir aux visiteur de servic exclus afin que vous puiss part sur le rout et commenc l'aventur auss vit que possible.nous metton égal à votr disposit un servic de voitur priv qui pourr prendr en charg tous vos déplac entre le aéroport et le différent sit disneyland paris.vous pouv réserv ce servic à l'avanc en contact disney special activit par e-mail à dlp.disney.special.activit @ disney.com.découvr nos forfait hôtel , parc et transfert .",où se trouv disneyland paris par rapport aux aéroport parisien ?
Où trouver des descriptions et photos des hôtels Disney?,Vous trouverez des descriptions détaillées et pourrez effectuer des visites virtuelles de tous les hôtels Disney dans la section correspondante de ce site Web.Trouvez votre forfait hôtel Disney de rêve et réservez votre séjour dès aujourd'hui !,1,vous trouver un description détaillé et pouvoir effectuer un visite virtuel de tout le hôtel disney dans le section correspondant de ce site Web . Trouvez votre forfaire hôtel disney de rêve et réserver votre séjour dès aujourd'hui !,où trouver un description et photo un hôtel disney ?,vous trouv de descript détaill et pourr effectu de visit virtuel de tous le hôtel disney dan la section correspond de ce sit web.trouv votr forf hôtel disney de rêv et réserv votr séjour des aujourd'hui !,où trouv de descript et photos de hôtel disney ?
Où trouver des informations sur les limites de taille et d'âge pour les attractions de Disneyland Paris?,"Disneyland Paris accueille les visiteurs de tous les âges et de toutes les tailles.  Si certaines attractions conviennent à tous, d'autres ne sont accessibles qu'à partir d'une certaine taille ou d'un certain âge. Vous pouvez consulter les restrictions en ligne ou consulter les symboles et informations présents devant chaque attraction à votre arrivée dans les Parcs.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité"".",1,"Disneyland Paris accueillir le visiteur de tout le âge et de tout le taille .   si certain attraction convenir à tout , d' autre ne être accessibler que à partir de un certain taille ou de un certain âge . vous pouvoir consulter le restriction en ligne ou consulter le symbole et information présent devant chaque attraction à votre arrivée dans le parc . Découvrez plus de conseil malin sécurité pour votre famille sur le site dédié "" le aventurier de le sécurité "" .",où trouver un information sur le limite de taille et de âge pour le attraction de Disneyland Paris ?,"disneyland paris accueil le visiteur de tous le âge et de tout le taill . si certain attract conviennent à tous , d'autr ne sont accessibl qu ' à part d'un certain taill ou d'un certain âge . vous pouv consult le restrict en lign ou consult le symbol et inform présent dev chaqu attract à votr arriv dan le parcs.découvr plus de conseil malin sécur pour votr famill sur le sit dédi `` le aventuri de la sécur '' .",où trouv de inform sur le limit de taill et d'âg pour le attract de disneyland paris ?
Où trouver des informations sur les événements de saison et les offres spéciales?,"Vous pouvez consulter nos événements de saison et offres spéciales et réserver vos billets en ligne.Il se passe toujours quelque chose de nouveau et de palpitant à Disneyland Paris. Chaque saison apporte son lot de découvertes et d'offres spéciales. Que vous programmiez votre première visite ou que vous veniez revivre la magie, votre expérience sera toujours unique et pleine de nouvelles aventures.",1,"vous pouvoir consulter notre événement de saison et offre spécial et réserver votre billet en ligne . il se passer toujours quelque chose de nouveau et de palpiter à Disneyland Paris . chaque saison apporte son lot de découverte et de offre spécial . que vous programmiez votre premier visite ou que vous venir revivre le magie , votre expérience être toujours unique et pleine de nouveau aventure .",où trouver un information sur le événement de saison et le offre spécial ?,"vous pouv consult nos éven de saison et offre spécial et réserv vos billet en ligne.il se pass toujour quelqu chos de nouveau et de palpit à disneyland paris . chaqu saison apport son lot de découvert et d'offr spécial . que vous programm votr premi visit ou que vous ven revivr la mag , votr expérient ser toujour uniqu et plein de nouvel aventur .",où trouv de inform sur le éven de saison et le offre spécial ?
Où trouver un plan de Disneyland Paris et des Parcs Disney?,"Explorez les Parcs Disney à l'aide de notre carte interactive en ligne de Disneyland Paris. Vous pouvez planifier votre aventure avant votre arrivée en explorant le Parc Disneyland et le Parc Walt Disney Studios. Localisez votre hôtel Disney idéal et découvrez les attractions, spectacles, parades et restaurants qui vous intéressent.  Et le jour venu, à l'entrée du Parc, obtenez une carte détaillée aux guichets des parcs Disney et au City Hall du Parc Disneyland.",1,"Explorez le parc disney à le aide de notre carte interactif en ligne de Disneyland Paris . vous pouvoir planifier votre aventure avant votre arrivée en explorer le parc Disneyland et le parc Walt Disney studio . localisez votre hôtel Disney idéal et découvrir le attraction , spectacle , parade et restaurant qui vous intéresser .   et le jour venu , à le entrée de parc , obtenez un carte détailler al guichet un parc Disney et au City Hall de parc Disneyland .",où trouver un plan de Disneyland Paris et un parc Disney ?,"explor le parc disney à l'aid de notr cart interact en lign de disneyland paris . vous pouv planifi votr aventur avant votr arriv en explor le parc disneyland et le parc walt disney studios . localis votr hôtel disney idéal et découvr le attract , spectacl , parad et restaur qui vous intéressent . et le jour venu , à l'entr du parc , obten une cart détaill aux guichet de parc disney et au city hall du parc disneyland .",où trouv un plan de disneyland paris et de parc disney ?
"L’utilisation de perches télescopiques, utilisées notamment pour les selfies, est-elle autorisée dans les Parcs à Thèmes de Disneyland Paris ?","Non. Selon une règle de Walt Disney Parks and Resorts, l’utilisation de perches télescopiques pour appareils photos ou téléphones portables, utilisées notamment pour les selfies, est interdite dans les Parcs à Thèmes. Il est demandé aux Visiteurs de laisser les perches télescopiques dans leur voiture ou leur chambre d’hôtel à leur arrivée, ou de les ranger en consigne gratuite à Guest Storage, disponible à l’entrée des deux Parcs.",1,"non . selon un règle de Walt Disney Parks and resort , l’ utilisation de perche télescopique pour appareil photo ou téléphone portable , utiliser notamment pour le selfie , être interdire dans le parc à thème . il être demander aux visiteur de laisser le perche télescopique dans leur voiture ou leur chambre d’ hôtel à leur arrivée , ou de le ranger en consigne gratuit à Guest storage , disponible à l’ entrer un deux parc .","l’ utilisation de perche télescopique , utiliser notamment pour le selfie , est-elle autoriser dans le parc à thème de Disneyland Paris ?","non . selon une regl de walt disney park and resort , l ’ utilis de perch télescop pour appareil photos ou téléphon portabl , utilis not pour le self , est interdit dan le parc à them . il est demand aux visiteur de laiss le perch télescop dan leur voitur ou leur chambr d ’ hôtel à leur arriv , ou de le rang en consign gratuit à guest storag , disponibl à l ’ entré de deux parc .","l ’ utilis de perch télescop , utilis not pour le self , est-el autoris dan le parc à them de disneyland paris ?"
Y a-t-il un code vestimentaire à Disneyland Paris?,"Une tenue correcte est exigée en toute circonstance ainsi que le port de chaussures, d'un haut et d'un bas.Nous nous réservons également le droit, à notre discrétion et à tout moment, de refuser l'accès ou de reconduire à l'extérieur de l'enceinte des parcs, toute personne portant une tenue, un maquillage ou un tatouage qui, entre autre, serait de nature à heurter la sensibilité des plus jeunes et d'un public familial, qu'Euro Disney Associés S.C.A considérerait comme inapproprié et qui pourrait encourager des interactions avec d'autres visiteurs ou les perturber en se faisant passer pour des personnages en costume. Il en est de même avec le port d'accessoires considérés comme pouvant impacter la sécurité dans nos attractions (capes, bâtons, ...).Pour des raisons de sécurité, le port d'une tenue ou masque recouvrant totalement le visage est interdit sauf pour raisons médicales.Il pourra être refusé l'accès à l'un ou l'autre des parcs pour non-respect de ces exigences vestimentaires.Lors d'événements spéciaux à thème, des règles spécifiques peuvent être appliquées. Merci d'en prendre connaissance sur les supports dédiés à ces événements.",1,"un tenue correct être exiger en tout circonstance ainsi que le port de chaussure , de un haut et de un bas . nous nous réserver également le droit , à notre discrétion et à tout moment , de refuser le accès ou de reconduire à le extérieur de le enceinte un parc , tout personne porter un tenue , un maquillage ou un tatouage qui , entre autre , être de nature à heurter le sensibilité un plus jeune et de un public familial , qu' Euro disney associer S.C.A considérer comme inapproprié et qui pouvoir encourager un interaction avec d' autre visiteur ou le perturber en se faire passer pour un personnage en costume . il en être de même avec le port de accessoire considérés comme pouvoir impacter le sécurité dans notre attraction ( cape , bâton , ... ) .pour un raison de sécurité , le port de un tenue ou masqu recouvrir totalement le visage être interdire sauf pour raison médical . il pouvoir être refuser le accès à le un ou le autre un parc pour non-respect de ce exigence vestimentaire . lors de événement spécial à thème , un règle spécifique pouvoir être appliquer . merci de en prendre connaissance sur le support dédier à ce événement .",y avoir t il un code vestimentaire à Disneyland Paris ?,"une tenu correct est exig en tout circonst ains que le port de chaussur , d'un haut et d'un bas.nous nous réservon égal le droit , à notr discret et à tout moment , de refus l'acces ou de reconduir à l'extérieur de l'enceint de parc , tout person port une tenu , un maquillag ou un tatouag qui , entre autr , ser de natur à heurt la sensibil de plus jeun et d'un public familial , qu'euro disney associ s.c.a consider comm inappropri et qui pourr encourag de interact avec d'autr visiteur ou le perturb en se fais pass pour de personnag en costum . il en est de mêm avec le port d'accessoir consider comm pouv impact la sécur dan nos attract ( cap , bâton , ... ) .pour de raison de sécur , le port d'un tenu ou masqu recouvr total le visag est interd sauf pour raison médicales.il pourr être refus l'acces à l'un ou l'autr de parc pour non-respect de ce exigent vestimentaires.lor d'éven spécial à them , de regl spécif peuvent être appliqu . merc d'en prendr connaiss sur le support dédi à ce éven .",y a-t-il un cod vestimentair à disneyland paris ?
"Je possède actuellement un Passeport Annuel Classic, Fantasy ou Dream, suis-je obligé(e) de le changer pour un nouveau Pass Annuel ?","Non, le Passeport Annuel est valide jusqu’à la date de fin de validé indiquée sur le Passeport, cependant vous pouvez l’échanger sous conditions contre le Pass Annuel de votre choix et vous recevrez une carte cadeau d’une valeur de 25€ à dépenser dans les restaurants et boutiques de Disneyland Paris**.**Offre valable du 29/03/17 au 02/11/17 inclus, uniquement au Bureau Pass Annuel. Echange de votre Passeport Annuel Classic, Fantasy, ou Dream contre un Pass Annuel de la nouvelle gamme (d’un montant supérieur), en vous acquittant de la différence de prix entre les deux. En cas de paiement mensuel, vous devez payer en une fois la différence de prix entre les deux Pass Annuels. L’échange ne modifie pas la date d’expiration de votre Pass Annuel (indiquée sur l’ancien Passeport Annuel).",1,"non , le Passeport annuel être valide jusqu’ à le date de fin de validé indiquer sur le passeport , cependant vous pouvoir l’ échanger sous condition contre le pass annuel de votre choix et vous recevoir un carte cadeau d’ un valeur de 25 euro à dépenser dans le restaurant et boutique de Disneyland paris**.**offre valable de 29/03/17 au 02/11/17 inclu , uniquement au Bureau Pass annuel . echange de votre passeport Annuel Classic , fantasy , ou dream contre un pass annuel de le nouveau gamme ( d’ un montant supérieur ) , en vous acquitter de le différence de prix entre le deux . en cas de paiement mensuel , vous devoir payer en un fois le différence de prix entre le deux Pass Annuels . l’ échange ne modifier pas le date d’ expiration de votre pass annuel ( indiquer sur l’ ancien passeport annuel ) .","je posséder actuellement un passeport annuel Classic , fantasy ou Dream , suis - je obligé(e ) de le changer pour un nouveau Pass annuel ?","non , le passeport annuel est valid jusqu ’ à la dat de fin de valid indiqu sur le passeport , cepend vous pouv l ’ échang sous condit contr le pass annuel de votr choix et vous recevr une cart cadeau d ’ une valeur de 25€ à dépens dan le restaur et boutiqu de disneyland paris** . **offr valabl du 29/03/17 au 02/11/17 inclus , uniqu au bureau pass annuel . echang de votr passeport annuel classic , fantasy , ou dream contr un pass annuel de la nouvel gamm ( d ’ un mont supérieur ) , en vous acquitt de la différent de prix entre le deux . en cas de pai mensuel , vous dev pai en une fois la différent de prix entre le deux pass annuel . l ’ échang ne modif pas la dat d ’ expir de votr pass annuel ( indiqu sur l ’ ancien passeport annuel ) .","je possed actuel un passeport annuel classic , fantasy ou dream , suis-j oblig ( e ) de le chang pour un nouveau pass annuel ?"
