,question,reponse
50,Comment me rendre aux Parcs Disney depuis mon hôtel ?,"C'est très simple. Il vous suffit d'emprunter la navette Disneyland Paris gratuite.Les navettes Disneyland Paris partent toutes les 12 minutes, donc vous n'aurez jamais longtemps à attendre. Elles sont en service 7 jours sur 7 entre 6h30 et 23h.Vous pouvez descendre à n'importe quel hôtel Disneyland Paris ou en face de la gare SNCF à l'entrée de Disney VillageTous les Hôtels Disney (sauf le Disney’s Davy Crockett Ranch et Villages Nature Paris) sont accessibles à pieds depuis les Parcs Disney. Rendez-vous sur la page de l’hôtel pour plus d’informations.Les visiteurs ayant des besoins particuliers peuvent se rendre aux Parcs à l'aide de navettes adaptées (sauf au Disney’s Davy Crockett Ranch et Villages Nature Paris).Les navettes gratuites ne desservent pas le Disney’s Davy Crockett Ranch, Villages Nature Paris, le Golf Disneyland, ni le Disneyland Hotel. Néanmoins, pour les clients séjournant à Villages Nature Paris, il vous est possible d’utiliser une navette de transport public payante (durée du trajet : 25 min).Trouvez votre forfait hôtel Disney de rêve et réservez votre séjour dès aujourd'hui !"
51,Quelles sont les activités possibles à Disneyland Paris pour les vacances ?,"Disneyland Paris est une destination de vacances qui réunit tout ce qu'il vous faut pour vous évader le temps d'un séjour. Il vous suffit de faire vos valises !Disneyland Paris est une destination magique offrant :deux Parcs à thème fantastiques, le Parc Disneyland et le Parc Walt Disney Studios, regorgeant tous deux de mondes magiques, d'attractions et de découvertes fantastiques à chaque coin de rue ;leDisney Village est une excellente zone de divertissement avec des boutiques de renommée internationale, des restaurants succulents et des concerts et performances toute l'année ;les hôtels Disney, des chambres économiques aux suites de luxe, offrent un excellent rapport qualité/prix et de nombreux services ;plus de 50 restaurants, des classiques américains aux saveurs exotiques ;plus de 50 boutiques à explorer, contenant articles de collection et souvenirs Disney, jouets, cadeaux et vêtements de marque à prix réduits ;aires de sport et de loisirs sur site pour le golf, le football et la natation ainsi qu'un parcours d'aventure et bien plus encore.Réservez votre séjour en ligne dès aujourd'hui."
52,Y a-t-il des services spéciaux et des attractions pour les bébés et enfants en bas âge ?,"Oui ! Il y a de nombreuses attractions magiques, spectacles et services pour les enfants de tous les âges, qui font de Disneyland Paris la destination idéale pour les familles avec des bébés et enfants en bas âge. Les enfants en bas âge peuvent profiter de la magie d'un tour du monde grâce à ""it's a small world"", assister à un pow-wow à Frontierland Playground et bien plus encore. De plus, les parents avec des bébés peuvent profiter pleinement de leur visite grâce à Rider Switch, où votre partenaire et vous pouvez profiter l'un après l'autre des attractions sans avoir à refaire la queue, et grâce aux services de babysitting des hôtels.    Toutes nos attractions sont rigoureusement testées pour garantir que les visiteurs de tous les âges et de toutes les tailles profitent de leur séjour dans le confort et la sécurité.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges."
53,Existe-t-il une garderie dans les Parcs Disney ?,"Non, il n'y a pas de garderie dans les Parcs Disney. Cependant, les parents souhaitant profiter des attractions ne convenant pas aux jeunes enfants peuvent bénéficier du Rider Switch, un service gratuit qui vous permet de prendre le relais sur une attraction sans avoir à refaire la queue. Les visiteurs séjournant dans les hôtels Disney* peuvent également profiter de notre service de babysitting. Veuillez vous adresser à la réception de votre hôtel Disney.* Le service Baby-Sitting n’est pas disponible pour les personnes séjournant à Villages Natures Paris.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges."
54,Existe-t-il un service Objets trouvés dans les Parcs Disney ?,"Oui. Si vous perdez ou trouvez un objet au cours de votre aventure, rendez-vous dans l'un de nos points Objets trouvés :Au City Hall du Parc Disneyland ;à côté des Studio Services au Parc Walt Disney Studios.Repérez-les dès maintenant à l'aide de la carte interactive de Disneyland Paris."
55,Qu’est-ce que le Disney Check ?,"Disneyland Paris s’implique pour offrir à ses visiteurs des options nutritionnelles. Le Disney Check est un moyen rapide et facile pour les familles d’identifier davantage d’options nutritionnelles pour les repas des enfants âgés de 3 à 11 ans inclus avec une variété d’aliments et des portions appropriées.Recherchez le symbole Disney Check sur les menus enfants de nos restaurants service au comptoir.  Les menus qui ont le logo Disney Check…  ... contiennent au moins 2 portions de fruits et légumes. C’est notre façon d’aider les enfants à atteindre l’objectif de consommer « cinq fruits et légumes par jour ». Encourager vos enfants à manger des fruits et légumes est l’une des meilleures habitudes que vous pouvez leur enseigner. Les fruits et légumes sont riches en vitamines, minéraux et fibres et leur teneur en calories est faible. ... ont une faible teneur en graisses saturées. Conformément à la réglementation européenne, la teneur en graisses saturées n’est pas supérieure à 1.5 g par 100g de solide et produit moins de 10% de calories.  Nos chefs travaillent dur pour servir de délicieux repas Disney Check que votre enfant va adorer !"
56,Où changer des devises à Disneyland Paris ?,Il existe plusieurs endroits où changer des devises :Au Disney Village au bureau Travelexauprès de certains hôtels partenairesdans le Parc Disneyland : à l'intérieur de City Hallà la Gare de Marne-la-Vallée/Chessy : au bureau de PosteRepérez-les dès maintenant à l'aide de la carte interactive de Disneyland Paris.
57,Où trouver des informations sur les prix des forfaits vacances Disney ?,"Il existe plusieurs façons de découvrir le prix d'un forfait Disneyland Paris :en ligne : obtenez un devis pour des billets d'entrée aux Parcs Disney et des chambres dans les hôtels Disney ;par e-mail : obtenez un devis pour des billets d'entrée aux Parcs Disney, des chambres dans les hôtels Disney et des options vacances ;par téléphone :  0 825 300 500 (Service 0,15 €/min + prix appel)* ;en téléchargeant la grille tarifaire des forfaits.* Prix variable selon les opérateurs"
58,Puis-je trouver des repas végétariens dans les restaurants Disney ?,"Tous les restaurants Disney servent des plats végétariens, vous aurez l'embarras du choix.Si vous craignez que notre sélection d'options de restauration ne vous convienne pas, consultez nos services dédiés aux personnes ayant des besoins alimentaires particuliers.."
59,Quel est le meilleur moyen de se déplacer au sein de Disneyland Paris ?,"En empruntant la navette gratuite Disneyland Paris qui dessert tous les hôtels Disney (sauf le Disney’s Davy Crockett Ranch et Villages Nature Paris) et les Parcs Disney. Pour les visiteurs séjournant tout près de la magie, dans les hôtels situés à proximité de la ligne A du RER, le moyen le plus rapide d'aller aux Parcs Disney est d'utiliser les transports en commun. Vous pouvez acheter une carte 5 zones Paris Visite, qui vous donne accès à 1, 2 ou 3 jours consécutifs d'utilisation illimitée du système de transport en commun RATP de Paris/Ile de France.Vous pouvez également louer un véhicule chez Hertz, pour profiter de la liberté de découvrir les joyaux culturels de la région au cours de votre séjour. Nous recommandons particulièrement cette option si vous prévoyez de séjourner au Davy Crockett Ranch ou Villages Nature Paris, qui ne sont desservis par aucune navette gratuite vers les Parcs."
60,Combien de temps à l'avance puis-je commencer à organiser mon mariage Disney ?,"Vous pouvez commencer à planifier votre journée de rêve avec notre équipe de wedding planners professionnels entre 1 mois à 3 ans à l'avance, selon la disponibilité des espaces."
61,Puis-je réserver les offres proposées dans les autres pays?,"Oui, vous pouvez bénéficier des offres conçues pour d'autres pays. Pour cela, veuillez vous rendre sur les sites internet des autres pays ou contacter nos conseillers clientèle au 0 825 300 500 (Service 0,15 €/min + prix appel)."
62,Est-ce possible de prendre un repas avec des personnages Disney ?,"Bien sûr ! Les personnages Disney sont toujours heureux de partager un bon repas avec les visiteurs. Vous pouvez choisir entre le petit-déjeuner, le déjeuner et le dîner lorsque vous réservez votre repas avec des personnages Disney.Vous trouverez également des personnages Disney dans l'ensemble du Parc aux attractions et lieux de rencontre dédiés.Pourquoi ne pas fêter un anniversaire en mangeant du gâteau avec les personnages ?"
63,Faut-il payer pour entrer au Disney Village ?,"Non. L'entrée au Disney Village est gratuite, sauf en cas de spectacle spécial ou de parade de saison.Découvrez le programme du Disney Village.Découvrez les spectacles spéciaux et parades de saison du Disney Village."
64,Puis-je réserver les repas dans le cadre de mon forfait vacances ?,"Oui. Pour garder le contrôle sur votre budget et gagner du temps, vous pouvez pré-réserver vos formules repas en même temps que votre forfait vacances. Vous pouvez choisir parmi quatre formules repas pour une large variété d'excellents menus pré-définis, disponibles dans la plupart des restaurants Disney. Chaque menu comprend une entrée, un plat principal et un dessert. Vous pouvez également opter pour un buffet à volonté, selon le restaurant. Le prix de la formule repas varie selon la composition du menu.Simplifiez votre réservation davantage avec un forfait vacances Disneyland Paris."
65,"Puis-je réserver un forfait vacances comprenant les billets, l'hébergement et le transport ?","Oui. Laissez-nous nous occuper de tout en choisissant un forfait Disneyland Paris comprenant des billets d'entrée aux Parcs Disney, votre hébergement, et le transport vers et depuis Disneyland.Pour des vacances pleines de magie et sans soucis, vous pouvez également réserver nos formules repas et ajouter des options à votre forfait vacances, telles que la location d'un véhicule, des repas avec des personnages Disney ou des billets pour des spectacles et performances Disney spéciaux. Ces options ne peuvent être réservées qu'auprès de l'un de nos agents de réservation, par e-mail."
66,Où trouver les horaires des spectacles et parades ?,Vous pouvez consulter les horaires des spectacles et parades en ligne pour le Parc Disneyland et le Parc Walt Disney Studios. Vous pouvez également découvrir la programmation et les horaires aux guichets des Parcs Disney et au City Hall du Parc DisneylandLes spectacles et parades de saison sont extrêmement populaires. Réservez-les dès maintenant pour ne pas les manquer.
67,"J'ai une question mais je ne trouve pas la réponse dans cette rubrique, que puis-je faire?",Pour obtenir tout renseignement vous pouvez contacter notre ligne dédiée au Pass Annuel :France : n°Indigo 0 825 825 100 (0.15€ TTC / MN) disponible entre 11h et 19hBelgique : 078 156 024 (prix des appels selon le tarif national en vigueur)
68,"Je possède actuellement un Passeport Annuel Classic, Fantasy ou Dream et je souhaite l’échanger contre un nouveau Pass Annuel, existe-t-il un prix au prorata de jours restants ?","Non, il vous faudra vous acquitter de la totalité de la différence de prix entre votre Passeport et le Pass Annuel. La date de fin de validé reste celle indiquée sur l’ancien Passeport Annuel."
69,Comment se passe le paiement par acompte ?,"Si vous êtes éligible au paiement par acompte, vous aurez le choix, sur la page de paiement, entre le versement d’un acompte ou le paiement total du montant de la réservation.Sélectionnez le paiement par acompte et payez le montant affiché pour réserver votre séjour.La date limite pour régler le solde sera affichée sur la page de paiement et dans les e-mails de confirmation et de rappel."
70,Quelles sont les heures d'ouverture des Parcs Disney ?,"Consultez notre calendrier interactif des horaires des Parcs.Disneyland Paris est ouvert chaque jour de l'année. Toutefois, les heures d'ouverture varient selon les saisons et les Parcs peuvent rester ouverts plus tard pour des occasions spéciales.Séjournez dans un hôtel Disney et profitez de deux heures de magie supplémentaires dans les Parcs."
71,Puis-je ajouter des suppléments à un forfait Disneyland Paris ?,"Oui. Vous pouvez réserver des suites spéciales, des chambres pour personnes à mobilité réduite, plusieurs chambres, ou bien personnaliser votre forfait vacances avec des formules repas, des repas avec des personnages Disney ou encore des spectacles et performances Disney spéciaux, en appelant le 0  0 825 300 500 (Service 0,15 €/min + prix appel)*.* Prix variable selon les opérateurs"
72,Proposez-vous des repas halal ?,"Non. Pour vous régaler dans les restaurants Disney, nous vous proposons des alternatives végétariennes ou à base de poisson."
73,Où trouver le calendrier des événements se déroulant au Disney Village ?,"Découvrez les superbes événements qui se dérouleront bientôt au Disney Village. Pendant votre séjour, vous pouvez obtenir un calendrier d'événements à l'entrée du Disney Village."
74,Où trouver des descriptions et photos des hôtels Disney ?,Vous trouverez des descriptions détaillées et pourrez effectuer des visites virtuelles de tous les hôtels Disney dans la section correspondante de ce site Web.Trouvez votre forfait hôtel Disney de rêve et réservez votre séjour dès aujourd'hui !
75,Y a-t-il des places de parking réservées pour les visiteurs en situation de handicap ?,"Oui. Un petit nombre de places de parking sont réservées pour les visiteurs à mobilité réduite dans le Parking Visiteurs. Veuillez vous renseigner à l'entrée du Parking Visiteurs. Une carte européenne de stationnement doit être présentée lors de votre passage au péage pour y stationner. Si vous êtes un visiteur à mobilité réduite et séjournez dans l'un des hôtels Disney, nous vous conseillons de laisser votre véhicule au parking de votre hôtel Disney et d'utiliser la navette gratuite pour vos déplacements. Les minibus adaptés sont uniquement accessibles aux personnes en fauteuil roulant.Découvrez nos services dédiés aux visiteurs en situation de handicap."
76,Pouvons-nous réserver notre table à l'avance ?,"Oui. Vous pouvez réserver une table dans la plupart de nos restaurants. Il existe plusieurs façons de procéder :Jusqu'à 2 mois avant votre arrivée, en appelant notre service de réservation de restauration au 01 60 30 40 50 (prix d'un appel local)À votre arrivée, auprès de la réception de votre hôtel Disney.Ou directement auprès du restaurant."
77,"Avec un Pass Annuel Infinity, puis-je faire bénéficier de l'espace privilégié pour la parade et le show Disney Illuminations à mes invités Billets Privilèges, Billets Amis, autres détenteurs de Pass Annuel ou autres tickets ?",Non l’accès à l’espace privilégié est réservé aux détenteurs de Pass Annuels Infinity.
78,Où puis-je me garer à Disneyland Paris ?,"Vous pouvez vous garer au Parking Visiteurs situé à l'extérieur des parcs Disney. Vous devrez payer un prix forfaitaire journalier. Si vous séjournez dans l'un des hôtels Disney ou dans l'un des hôtels partenaires situés à proximité des Parcs Disney, vous pouvez garer gratuitement votre véhicule au parking de l'hôtel. Nous vous encourageons à utiliser la navette Disneyland Paris gratuite pour vous déplacer.Découvrez nos forfaits hôtels, Parcs et transfert."
79,"Si je fais des achats dans une boutique Disney, dois-je les porter toute la journée ?","Non. Il y a tellement de superbes boutiques pleines de cadeaux et souvenirs magiques à découvrir à Disneyland Paris que nous avons simplifié les choses pour vous avec un service de shopping mains libres GRATUIT. Au lieu de transporter vos achats partout avec vous, il vous suffit de les laisser dans la boutique afin de profiter des attractions des Parcs. Vous pouvez ensuite les récupérer après 18h au Disney Village à votre sortie des Parcs Disney, ou à la boutique de votre hôtel Disney après 20h. Pour plus d'informations, renseignez-vous auprès des boutiques et Hôtels Disney et des hôtels partenaires."
80,Comment déclarer un changement d'adresse ou autre situation ?,Tous changements dans la situation des Adhérents doivent être transmis par courrier à l'adresse suivante : Disneyland ParisBureau Pass Annuel77777 Marne-la-ValléeCedex 4 France
81,Où puis-je changer ou nourrir mon bébé ou réchauffer des biberons ?,"Vous pouvez prendre soin de votre bébé dans les Coins Bébés situés dans les deux Parcs Disney :Dans le Parc Disneyland : sur Main Street U.S.A. près du Plaza Gardens Restaurant.Dans le Parc Walt Disney Studios : derrière les Studio Services. Ces centres disposent également de couches et de nourriture pour bébés disponibles à la vente.De plus, la plupart des toilettes des Parcs sont équipées de tables à langer. Consultez votre plan des parcs Disney pour connaître leur emplacement exact ou localisez-les sur notre carte interactive de Disneyland Paris.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux familles de tous les âges.Découvrez plus de conseils malins sécurité pour votre famille sur le site dédié ""les aventuriers de la sécurité""."
82,Puis-je sortir d'un parc Disney et revenir plus tard le même jour ?,"Oui. Vous pouvez aller et venir à votre guise. Vous pouvez retourner à votre hôtel pour une sieste ou un plongeon dans la piscine, ou pour aller explorer Disney Village. C'est le lieu idéal pour faire du shopping, manger quelque chose ou assister à des spectacles en live. Assurez-vous juste de ne pas vous séparer de votre billet d'entrée."
83,Suis-je éligible au paiement par acompte ?,"Si vous réservez votre hôtel plus de 30 jours avant votre date d’arrivée, vous pourrez payer en ligne un acompte au moment de la réservation et le solde en ligne 30 jours avant le début de votre séjour. À l’exception des forfaits non modifiables et non remboursables. Pour plus d’informations sur cette modalité de paiement, voir les conditions de vente."
84,Où trouver les tarifs des hôtels Disney ?,Il existe un hôtel Disney pour toutes les bourses à Disneyland Paris. Vous pouvez découvrir les tarifs via notre service de réservation en ligne pratique et sécurisé.Trouvez votre hôtel de rêve DisneyRéservez votre séjour dès aujourd'hui !
85,"J’ai bénéficié des mois gratuits de l’offre de Parrainage et je souhaite l’échanger contre un nouveau Pass Annuel, quel prix dois-je payer ?",Le détenteur doit s’acquitter du montant total du Pass Annuel souhaité.
86,"Une fois ma réservation effectuée, comment obtenir mes billets ?",Vos billets seront envoyés à l'adresse indiquée au moment de la réservation. Ils doivent être commandés au minimum 8 jours avant la date de votre visite.Réservez votre aventure de rêve à Disneyland Paris.
87,Le paiement en ligne est-il sécurisé ?,Oui. Les paiements effectués en ligne sur disneylandparis.com sont entièrement sécurisés. Notre service de réservation en ligne protège les informations que vous nous transmettez à l'aide de formulaires sécurisés et de systèmes certifiés par la norme SSL internationale. Ce système de chiffrage garantit une sécurité maximum pour les informations que vous envoyez via Internet.
88,Comment planifier une visite de groupe ?,Disneyland Paris est la destination idéale pour les groupes de toutes tailles. Planifiez votre visite de groupe en ligne. Rien de plus simple.
89,Y a-t-il un code vestimentaire à Disneyland Paris ?,"Une tenue correcte est exigée en toute circonstance ainsi que le port de chaussures, d'un haut et d'un bas.Nous nous réservons également le droit, à notre discrétion et à tout moment, de refuser l'accès ou de reconduire à l'extérieur de l'enceinte des parcs, toute personne portant une tenue, un maquillage ou un tatouage qui, entre autre, serait de nature à heurter la sensibilité des plus jeunes et d'un public familial, qu'Euro Disney Associés S.C.A considérerait comme inapproprié et qui pourrait encourager des interactions avec d'autres visiteurs ou les perturber en se faisant passer pour des personnages en costume. Il en est de même avec le port d'accessoires considérés comme pouvant impacter la sécurité dans nos attractions (capes, bâtons, ...).Pour des raisons de sécurité, le port d'une tenue ou masque recouvrant totalement le visage est interdit sauf pour raisons médicales.Il pourra être refusé l'accès à l'un ou l'autre des parcs pour non-respect de ces exigences vestimentaires.Lors d'événements spéciaux à thème, des règles spécifiques peuvent être appliquées. Merci d'en prendre connaissance sur les supports dédiés à ces événements."
90,De quels équipements est dotée ma chambre d'hôtel Disney ?,"Du coffre dans la chambre à la baignoire, les hôtels Disney sont dotés de nombreux équipements pour rendre votre séjour confortable et serein. Vous trouverez plus d'informations à ce sujet dans la section dédiée aux hôtels Disney sur ce site Web.Trouvez votre forfait hôtel Disney de rêve et réservez votre séjour dès aujourd'hui !"
91,Où trouver des informations sur les événements de saison et les offres spéciales ?,"Vous pouvez consulter nos événements de saison et offres spéciales et réserver vos billets en ligne.Il se passe toujours quelque chose de nouveau et de palpitant à Disneyland Paris. Chaque saison apporte son lot de découvertes et d'offres spéciales. Que vous programmiez votre première visite ou que vous veniez revivre la magie, votre expérience sera toujours unique et pleine de nouvelles aventures."
92,Puis-je garer mon camping-car dans le Parking Visiteurs ?,"Oui. Les campings-cars sont autorisés dans les parkings Disney. Un prix forfaitaire journalier vous sera demandé.Pour plus d'informations, reportez-vous au Règlement Intérieur du Parking Visiteurs."
93,Quels hôtels sont situés à proximité des Parcs Disney ?,"À pied ou avec la navette, la magie n'est jamais loin.Disneyland Hotel : aux portes du Parc Disneyland.Disney's Hotel New York : à dix minutes à pied.Disney's Sequoia Lodge : à 15 minutes à pied, 5 minutes en navette gratuite.Disney's Newport Bay Club : à 15 minutes à pied, 10 minutes en navette gratuite.Disney's Hotel Cheyenne : à 20 minutes à pied, 5 minutes en navette gratuite.Disney's Hotel Santa Fe : à 20 minutes à pied, 5 minutes en navette.Disney's Davy Crockett Ranch : à 15  minutes en voiture (pas de navette disponible).Villages Nature Paris : 15 minutes de trajet en voiture, 25 minutes de trajet en transport public payant.Les hôtels partenaires sont situés plus loin mais disposent d'une navette gratuite.Trouvez votre forfait hôtel Disney de rêve et réservez votre séjour dès aujourd'hui !"
94,Puis-je louer un fauteuil roulant à Disneyland Paris ?,"Oui. Il est possible de louer des fauteuils roulants au point de Location de Poussettes et de Fauteuils Roulants situé à Town Square Terrace, à côté de l'entrée du Parc Disneyland et aux Studio Services à l'entrée du Parc Walt Disney Studios.Les Cast Members (employés Disney) vous informeront des conditions et tarifs de location.Découvrez toutes les informations à connaître pour les visiteurs en situation de handicap."
95,Quel est le prix d'un billet pour le Parc Disneyland Paris et comment l'acheter ?,"Trouvez votre forfait séjour idéal, les prix des billets et des offres spéciales. Il y a plusieurs manières d'acheter des billets pour les Parcs Disney.En ligne :via notre centre de réservation pratique et sécurisé.En France : à l'entrée des Parcs Disney ;aux magasins FNAC à Paris ;aux guichets des principales stations RATP (métro) à Paris ;dans certains hôtels parisiens."
96,Notre budget est serré. Y a-t-il des restaurants moins chers dans les Parcs Disney ?,"Oui. Il existe des restaurants pour toutes les bourses. Pour des repas légers, nos stands et restaurants disposant d'un comptoir ou en libre-service sont les plus économiques. Vous avez la possibilité de vous restaurer dans nos restaurants buffets où vous bénéficierez d'un excellent rapport qualité/prix.Consultez les informations sur nos restaurants."
97,Comment réserver un forfait vacances Disney ?,"Réserver un forfait Disney est très simple grâce à notre centre de réservation en ligne sécurisé. Vous y trouverez toutes les informations dont vous avez besoin sur les forfaits disponibles, les tarifs, les événements de saison et les offres spéciales."
98,Comment les cookies peuvent-ils être utilisés pour les visiteurs enregistrés ?,"Nous pouvons analyser les activités en ligne de visiteurs enregistrés sur les sites Web et services en ligne en utilisant des cookies et d'autres technologies de suivi. Là où vous avez accepté de recevoir des communications de notre part, nous pouvons utiliser des cookies et d'autres technologies de suivi pour vous fournir des communications sur mesure qui reflètent vos intérêts. Nous pouvons également utiliser des cookies ou des technologies de suivi dans nos communications avec vous (par exemple pour voir s'ils ont bien été lus ou ouverts ou pour voir avec quel contenu vous interagissez et les liens sur lesquels vous cliquez) afin de mieux faire correspondre nos communications futures avec vos intérêts."
99,Quelles attractions seront en cours de rénovation ou de remise en état au cours de mon séjour ?,"Consultez notre calendrier de remise en état actuel ou regardez la liste à l'entrée du parc à votre arrivée. Bien que les activités ne manquent pas à Disneyland Paris, certaines attractions peuvent parfois être fermées pour cause de rénovation. Cela permet de garantir un fonctionnement répondant à nos exigences strictes toute l'année.Consultez le calendrier des rénovations en cours et à venir."
100,Y a-t-il des conditions à remplir pour laisser mon animal de compagnie dans un centre Accueil animaux ?,Votre animal doit être équipé d'une puce électronique et avoir été vacciné contre la rage (il y a plus d'un mois et moins d'un an). Un certificat délivré par un vétérinaire officiel et traduit en français vous sera demandé.En savoir plus sur notre Centre Accueil Animaux.
101,Où se trouve Disneyland Paris par rapport aux aéroports parisiens ?,"Disneyland est proche des aéroports Roissy/Charles-de-Gaulle et Orly :la navette Magical Shuttle dessert directement les deux aéroports parisiens 7 jours sur 7. Le trajet dure environ 45 minutes depuis les deux aéroports.Les visiteurs en fauteuil roulant doivent contacter Magical Shuttle par e-mail 48 heures avant leur arrivée afin de réserver une navette adaptée.Vous pouvez également louer une voiture pour aller ou venir des aéroports et en profiter pour explorer les joyaux culturels de la région. Disneyland Paris s'est associé à Hertz pour offrir aux visiteurs des services exclusifs afin que vous puissiez partir sur les routes et commencer l'aventure aussi vite que possible.Nous mettons également à votre disposition un service de voitures privées qui pourra prendre en charge tous vos déplacements entre les aéroports et les différents sites Disneyland Paris.Vous pouvez réserver ce service à l'avance en contactant Disney Special Activities par e-mail à dlp.disney.special.activities@disney.com.Découvrez nos forfaits hôtels, Parcs et transfert."
102,"Je vais prendre le train pour me rendre à Disneyland Paris, y a-t-il une gare à proximité des Parcs Disney ?","La gare ferroviaire de Marne-la-Vallée/Chessy est située juste à l'entrée des Parcs Disney et à 2 minutes seulement des hôtels Disney.Consultez notre carte interactive pour localiser la gare de Marne-la-Vallée/Chessy et voir à quel point elle est proche de la magie !Avec le service bagages Disney Express, vous serez plongé dans la magie Disney dès votre arrivée. Laissez vos sacs au guichet Disney Express à la gare, récupérez vos billets et nous déposerons vos bagages à l'hôtel pour que vous puissiez immédiatement profiter des Parcs.Découvrez nos forfaits hôtels, Parcs et transfert."
103,Quelles sont les conditions d'accessibilité pour les visiteurs en situation de handicap ?,"Disneyland Paris convient aux visiteurs en situation de handicap. Pour plus d'informations, reportez-vous aux Plans de l'Accessibilité dans les Parcs Disney.Nous disposons de services spéciaux pour les visiteurs présentant :des troubles auditifs;des troubles de la vision;une mobilité réduite;des troubles mentaux ou cognitifs;une épilepsie photosensible.Découvrez nos forfaits hôtels, Parcs et transfert convenant aux visiteurs en situation de handicap."
104,À quelle heure sont l'enregistrement et le départ dans les hôtels Disney ?,"L'enregistrement dans tous les Hôtels Disney et hôtels partenaires peut s’effectuer dès le matin du jour de votre arrivée (Sauf Villages Nature Paris dont le check in est possible à partir de 10h du matin). La chambre sera disponible à partir de 15h*. Vous pouvez déposer vos bagages à la consigne de l'hôtel (Sauf pour le Disney’s Davy Crockett Ranch et Villages Nature Paris). Vous pouvez ainsi profiter des Parcs.Le départ pour tous les hôtels Disney et les hôtels partenaires doit être effectué avant 11h**. Si vous souhaitez profiter d'une dernière journée magique dans les Parcs Disney, vous pourrez laisser vos bagages au service de consigne (Sauf pour le Disney’s Davy Crockett Ranch et Villages Nature Paris) jusqu'à votre départ. Si vous arrivez en train, vous pouvez profiter du service Disney Express.*Sauf pour le Radisson Blu Hotel et le Disney's Davy Crockett Ranch où la chambre sera disponible à partir de  16h00.**Sauf Villages Nature Paris dont le check out doit avoir lieu avant 10h du matin et au Radisson Blu Hotel avant 12h."
105,Puis-je acheter des billets d'entrée aux Parcs Disney sans les réserver à l'avance ?,"Oui. Vous pouvez acheter des billets aux guichets situés à l'entrée des Parcs Disney. Cependant, pourquoi ne pas vous éviter les tracas d'une organisation de dernière minute en consultant notre service de réservation en ligne et nos offres spéciales ?Pour encore plus de flexibilité, vous pouvez même acheter l'un de nos forfaits."
106,Proposez-vous des repas casher ?,Oui. Les restaurants Disney avec service à table seront heureux de servir des repas casher aux visiteurs qui le désirent. Veuillez en informer le restaurant au moins 48 heures à l'avance (les demandes effectuées du vendredi 14h au lundi 9h ne sont pas garanties) en contactant notre service central de réservation de restaurants au 01 60 30 40 50 (prix d'un appel local).
107,Comment réserver des billets d'entrée aux Parcs Disney ou un forfait vacances en ligne ?,Réserver votre aventure Disney est très simple. Vous pouvez acheter vos billets d'entrée aux Parcs Disney et votre forfait séjour 24 h/24 via notre service de réservation en ligne pratique et sécurisé.
108,Que sont les cookies et comment fonctionnent-ils ?,"Les cookies sont des ensembles de données qu'un site Web place sur votre appareil lorsque vous visitez un site. Ils peuvent entraîner la transmission d'information de notre part vers vous, de votre part vers nous, vers un tiers de notre part ou vers un tiers conformément à sa politique de confidentialité. Nous pouvons utiliser les cookies pour recueillir des informations à votre propos. Vous pouvez choisir d'être averti par votre appareil à chaque fois qu'un cookie est envoyé ou vous pouvez choisir de désactiver tous les cookies via les paramètres de votre navigateur. Cependant, si vous désactivez les cookies, certains de nos services ne fonctionneront pas correctement et vous n'aurez pas accès aux nombreuses fonctions qui rendent l'utilisation du site plus efficace.Que sont les cookies Flash ?Nous pouvons utiliser des objets partagés locaux, parfois connus sous le nom de cookies Flash, pour garder en mémoire vos préférences ou afficher des contenus basés sur ce que vous consultez sur notre site afin de personnaliser votre visite. Nos annonceurs et prestataires tiers peuvent également utiliser des cookies Flash pour recueillir et conserver des informations. Les cookies Flash sont différents des cookies de navigateur de par leur nombre, type et la manière dont les données sont conservées. Les outils de gestion des cookies fournis par votre navigateur ne supprimeront pas les cookies Flash. Si vous désactivez des cookies Flash, vous n'aurez pas accès à de nombreuses fonctions qui rendent votre expérience Disney plus efficace, et certains services ne fonctionneront pas correctement.Nous utilisons plusieurs catégories de cookies qui remplissent des fonctions différentes. Pour en savoir plus sur les cookies et leur fonctionnement, consultez le site informatif allaboutcookies.orgVeuillez consulter Comment supprimer les cookies Flash ? Si vous souhaitez désactiver les cookies Flash."
109,Que comprend le forfait vacances Disneyland Paris ?,"Les forfaits Disneyland Paris constituent l'un des meilleurs moyens de profiter de vacances relaxantes à la fois magiques et pratiques. Ces forfaits peuvent comprendre le transport, les hôtels, les formules repas, un FASTPASS et des Moments de Magie en Plus, qui réduisent vos dépenses et les aléas de votre séjour mais en conservent toute la magie. De plus, tous vos forfaits vous attendent à la réception, ce qui vous évite de faire la queue ou de voyager avec vos billets.Découvrez les forfaits vacances Disneyland Paris"
